species,year,arc_distance,incenter_arc_distace,relative_arc_distance
CHFU,2020,2.612018101224184e-6,3.3576066963508224e-4,0.007779404610024833
CHMI,2020,6.709718680603049e-4,3.3576066963508224e-4,1.9983635033535738
HOMA,2020,6.798920583977701e-4,3.3576066963508224e-4,2.024930612441008
LEMA,2020,2.5736905919906833e-6,3.3576066963508224e-4,0.007665253332940604
MESU,2020,6.79203492808013e-4,3.3576066963508224e-4,2.022879849346851
PAIN,2020,2.253012670459072e-6,3.3576066963508224e-4,0.006710174461195034
PLCO,2020,1.7930104704422645e-005,3.3576066963508224e-4,0.05340144432017538
POMA,2020,4.3217246687324215e-6,3.3576066963508224e-4,0.012871444036102977
POMO,2020,4.738276700070927e-5,3.3576066963508224e-4,0.14112065910580504
PUPA,2020,6.767999266326167e-4,3.3576066963508224e-4,2.015721279589385
SASO,2020,1.1631404406891395e-5,3.3576066963508224e-4,0.03464195023059984
SCLA,2020,7.655445405064277e-6,3.3576066963508224e-4,0.02280030419698803
SOAS,2020,5.512310366974561e-4,3.3576066963508224e-4,1.6417379596501145
SPRU,2020,8.977787152493017e-7,3.3576066963508224e-4,0.002673865036738944
BEMA,2021,0.003507576713231924,0.001745985339381897,2.0089382391227035
CETE,2021,1.084201603597398e-5,0.001745985339381897,0.006209683318310223
CHFU,2021,0.003464685028597908,0.001745985339381897,1.9843723486386515
CHMI,2021,2.819013350567805e-5,0.001745985339381897,0.016145687406320233
HOMA,2021,0.0035478798157129007,0.001745985339381897,2.0320215386051865
LEMA,2021,1.066442814825464e-5,0.001745985339381897,0.006107971188366332
MEEL,2021,1.6072922093218907e-4,0.001745985339381897,0.09205645506112294
MESU,2021,2.2561264830422764e-4,0.001745985339381897,0.12921795115650722
PAIN,2021,0.0034224045560732504,0.001745985339381897,1.960156525303259
PLCO,2021,0.0034566828660155535,0.001745985339381897,1.979789170073597
POMA,2021,2.6751494125468266e-5,0.001745985339381897,0.015321717497890713
POMO,2021,0.001964076787626037,0.001745985339381897,1.124910240266592
PUPA,2021,6.296862022960521e-5,0.001745985339381897,0.03606480467464691
SASO,2021,7.955177157596175e-4,0.001745985339381897,0.45562680156366137
SCLA,2021,1.0718839607523105e-4,0.001745985339381897,0.06139134943319583
SOAS,2021,6.780617795677951e-5,0.001745985339381897,0.038835479558370085
SPRU,2021,0.0034718352209258904,0.001745985339381897,1.9884675676343126
