"node_id";"taxonomy_name";"taxonomy_rank"
"mangal_node_1277";"Smilax tamnoides";"species"
"mangal_node_1278";"Solanum carolinense";"species"
"mangal_node_1279";"Solanum nigrum";"species"
"mangal_node_1280";"Solanum angustifolium";"species"
"mangal_node_1281";"Solidago canadensis";"species"
"mangal_node_1282";"Euthamia graminifolia";"species"
"mangal_node_1283";"Solidago missouriensis";"species"
"mangal_node_1284";"Solidago nemoralis";"species"
"mangal_node_1285";"Solidago rigida";"species"
"mangal_node_1286";"Solidago serotina";"species"
"mangal_node_1289";"Stachys palustris";"species"
"mangal_node_1290";"Staphylea trifolia";"species"
"mangal_node_1291";"Lysimachia hybrida";"species"
"mangal_node_1292";"Stellaria longifolia";"species"
"mangal_node_1293";"Stellaria media";"species"
"mangal_node_1294";"Strophostyles helvola";"species"
"mangal_node_1295";"Stylosanthes biflora";"species"
"mangal_node_1296";"Taenidia integerrima";"species"
"mangal_node_1297";"Tephrosia virginiana";"species"
"mangal_node_1298";"Teucrium canadense";"species"
"mangal_node_1299";"Thalictrum dasycarpum";"species"
"mangal_node_1300";"Tilia americana";"species"
"mangal_node_1301";"Cyanotis pilosa";"species"
"mangal_node_1302";"Tradescantia virginiana";"species"
"mangal_node_1303";"Trifolium hybridum";"species"
"mangal_node_1304";"Trifolium pratense";"species"
"mangal_node_1306";"Trifolium repens";"species"
"mangal_node_1308";"Triosteum perfoliatum";"species"
"mangal_node_1310";"Uvularia grandiflora";"species"
"mangal_node_1311";"Valerianella radiata";"species"
"mangal_node_1312";"Verbascum thapsus";"species"
"mangal_node_1313";"Verbena hastata";"species"
"mangal_node_1315";"Verbena urticaefolia";NA
"mangal_node_1317";"Vernonia fasciculata";"species"
"mangal_node_1318";"Veronica arvensis";"species"
"mangal_node_1319";"Veronica peregrina";"species"
"mangal_node_1320";"Viburnum prunifolium";"species"
"mangal_node_1321";"Viola cucullata";"species"
"mangal_node_1322";"Viola pedata";"species"
"mangal_node_1324";"Viola pubescens";"species"
"mangal_node_1326";"Viola striata";"species"
"mangal_node_1327";"Vitis cordifolia";"species"
"mangal_node_1328";"Vitis vulpina";"species"
"mangal_node_1329";"Zanthoxylum americanum";"species"
"mangal_node_1330";"Zea mays";"species"
"mangal_node_1331";"Zizia aurea";"species"
"mangal_node_1332";"Spallanzania hesperidarum";"species"
"mangal_node_1333";"Agapostemon texanus";"species"
"mangal_node_1334";"Siphona geniculata";"species"
