network_id,small_omega_mean,small_omega_lowerCI,small_omega_upperCI,anisotropy_index_mean,anisotropy_index_lowerCI,anisotropy_index_upperCI,mean_pairwise_similarity_mean,mean_pairwise_similarity_lowerCI,mean_pairwise_similarity_upperCI
mangal_5020,0.6375439770995291,0.6375436174163586,0.6375443443904488,0.9774954905037992,0.9774936077003069,0.9774973421869346,0.7900000808216975,0.7899861801588577,0.7900143586512227
mangal_5021,0.6347178061584099,0.634716830259109,0.6347187917145785,0.9786960128218769,0.9786917639527258,0.9787002659872601,0.8122759648064126,0.8122350282015673,0.8123165240179727
mangal_5022,0.6380346897846827,0.6380343732590671,0.6380350097380799,0.9773241772496338,0.9773228993099636,0.9773254730828113,0.7912618925018997,0.791253578371838,0.7912701068549302
mangal_5023,0.6422321399924703,0.6422318822643233,0.6422323988704949,0.9757397969311064,0.9757389418854538,0.9757406315626236,0.8074121819727307,0.8074057086906783,0.8074187474712019
mangal_5024,0.6427084238556938,0.642708062426162,0.6427087832506235,0.9775868333947965,0.9775857227560545,0.9775879621672044,0.8126497181782655,0.8126409737148256,0.812658472660564
mangal_5025,0.6319181769768971,0.6319175275715729,0.631918836195922,0.9805966809619938,0.9805946970876332,0.9805986345387079,0.829335094777266,0.8293178639922076,0.8293523451034617
mangal_5026,0.6377637656085333,0.6377633427796154,0.6377641934263214,0.9780883151119936,0.9780868023437403,0.9780897985421533,0.8126029513562557,0.8125909421783496,0.812614675716865
mangal_5116,0.6585743272260365,0.6585740229283993,0.658574631513046,0.9708616978451278,0.9708613014424676,0.9708621130602376,0.8286233610733948,0.8286215606725232,0.8286252096996521
mangal_5119,0.6517640302612842,0.6517639107026737,0.6517641523245528,0.97198593157807,0.9719857224411812,0.9719861451801911,0.8280229146654656,0.828021719932918,0.8280240594971454
mangal_5120,0.646345505176031,0.6463453279204439,0.6463456808917947,0.9801881557079155,0.9801877337662107,0.9801885801378607,0.8269171053334236,0.8269145949783728,0.8269195717886798
mangal_5123,0.6490834102379496,0.6490831220207122,0.649083697837205,0.987223519902259,0.9872229478396903,0.9872240948737053,0.8561298715655109,0.8561260469475064,0.8561336425404609
mangal_5125,0.656919499503434,0.6569191987105251,0.6569197983448799,0.9707930726795768,0.9707922949309806,0.9707938671190779,0.7860228698390923,0.7860189530472,0.7860268220827444
mangal_5126,0.6620636704887674,0.6620635512258912,0.6620637932084711,0.9772231315802872,0.977222871962373,0.9772233923340242,0.8175173762110227,0.8175161661703728,0.8175185658599331
mangal_5127,0.6592779245469013,0.6592776302809552,0.6592782141021682,0.9683956851023274,0.9683951264424256,0.9683962320860556,0.8099733960305388,0.809969771226667,0.8099770359427431
mangal_5128,0.6615950895861781,0.6615945216015352,0.6615956816470245,0.9773897991732443,0.977389012058794,0.9773905724690422,0.8402483794261557,0.8402453894601669,0.8402513432696952
mangal_5132,0.6431677067134285,0.6431675046640833,0.6431679137346847,0.9747295720646918,0.9747291052205267,0.9747300247444877,0.8211313784226796,0.8211284235383809,0.8211342354533906
mangal_5134,0.6383004217467779,0.6383002002277296,0.6383006368625542,0.9886782204667458,0.9886778197114646,0.9886786338424608,0.8649606704533906,0.8649579767447014,0.8649634417689361
mangal_5135,0.6407317310339471,0.6407315092879231,0.6407319576836799,0.983514410411744,0.9835139859935437,0.98351482838967,0.8457183700240453,0.8457158485201783,0.8457208622595614
mangal_5136,0.6524225452166884,0.6524224245318809,0.6524226643876536,0.9741537621760107,0.9741535708229573,0.9741539530332941,0.8240772691927226,0.824076253625197,0.82407829793647
mangal_5137,0.6575971143991622,0.657596857666875,0.6575973714942192,0.9686813178408257,0.9686806873174811,0.9686819646158011,0.7832168719839603,0.7832138408260706,0.7832200198330908
