network_id,node_from,node_to,link_type,link_direction,link_value,link_units,taxonomy_name_from,taxonomy_rank_from,kingdom_from,taxonomy_name_to,taxonomy_rank_to,kingdom_to
mangal_929,mangal_node_2256,mangal_node_2263,mutualism,directed,912,visits,Centris obsoleta,species,Animalia,Banisteriopsis muricata,species,Plantae
mangal_929,mangal_node_2257,mangal_node_2261,mutualism,directed,328,visits,Epicharis,genus,Animalia,Diplopterys pubipetala,species,Plantae
mangal_929,mangal_node_2257,mangal_node_2263,mutualism,directed,364,visits,Epicharis,genus,Animalia,Banisteriopsis muricata,species,Plantae
mangal_929,mangal_node_2257,mangal_node_2264,mutualism,directed,28,visits,Epicharis,genus,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2257,mangal_node_2264,mutualism,directed,116,visits,Epicharis,genus,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_0089,mangal_node_2261,mutualism,directed,364,visits,Apis mellifera,species,Animalia,Diplopterys pubipetala,species,Plantae
mangal_929,mangal_node_0089,mangal_node_2262,mutualism,directed,28,visits,Apis mellifera,species,Animalia,Byrsonima gardnerana,NA,Plantae
mangal_929,mangal_node_0089,mangal_node_2263,mutualism,directed,44,visits,Apis mellifera,species,Animalia,Banisteriopsis muricata,species,Plantae
mangal_929,mangal_node_0089,mangal_node_2264,mutualism,directed,116,visits,Apis mellifera,species,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2258,mangal_node_2261,mutualism,directed,368,visits,Centris,genus,Animalia,Diplopterys pubipetala,species,Plantae
mangal_929,mangal_node_2258,mangal_node_2263,mutualism,directed,368,visits,Centris,genus,Animalia,Banisteriopsis muricata,species,Plantae
mangal_929,mangal_node_2259,mangal_node_2263,mutualism,directed,164,visits,Xylocopa,genus,Animalia,Banisteriopsis muricata,species,Plantae
mangal_929,mangal_node_2259,mangal_node_2264,mutualism,directed,76,visits,Xylocopa,genus,Animalia,Heteropterys,genus,Plantae
mangal_929,mangal_node_2260,mangal_node_2263,mutualism,directed,84,visits,Xylocopa grisescens,species,Animalia,Banisteriopsis muricata,species,Plantae
mangal_929,mangal_node_2254,mangal_node_2262,mutualism,directed,284,visits,Centris flavifrons,species,Animalia,Byrsonima gardnerana,NA,Plantae
mangal_1384,mangal_node_3667,mangal_node_3652,mutualism,undirected,1,NA,Eriogonum fasciculatum,species,Plantae,Halictus ligatus,species,Animalia
mangal_1384,mangal_node_3667,mangal_node_2186,mutualism,undirected,2,NA,Eriogonum fasciculatum,species,Plantae,Syritta pipiens,species,Animalia
mangal_1384,mangal_node_3667,mangal_node_3650,mutualism,undirected,1,NA,Eriogonum fasciculatum,species,Plantae,Sphaerophoria contigua,species,Animalia
mangal_1384,mangal_node_3692,mangal_node_3694,mutualism,undirected,1,NA,Heliotropium curassavicum,species,Plantae,Calliopsis scutellaris,species,Animalia
mangal_1384,mangal_node_3695,mangal_node_3638,mutualism,undirected,62,NA,Sambucus mexicana,NA,Plantae,Eupeodes fumipennis,species,Animalia
mangal_1384,mangal_node_3667,mangal_node_1609,mutualism,undirected,19,NA,Eriogonum fasciculatum,species,Plantae,Melissodes agilis,species,Animalia
mangal_1384,mangal_node_3667,mangal_node_3649,mutualism,undirected,2,NA,Eriogonum fasciculatum,species,Plantae,Toxomerus marginatus,species,Animalia
mangal_1384,mangal_node_3667,mangal_node_3691,mutualism,undirected,1,NA,Eriogonum fasciculatum,species,Plantae,Allograpta exotica,species,Animalia
