network_id,node_from,node_to,link_type,link_direction,link_value,link_units
mangal_1393,mangal_node_3651,mangal_node_3648,mutualism,undirected,2,NA
mangal_1393,mangal_node_3711,mangal_node_3652,mutualism,undirected,4,NA
mangal_1393,mangal_node_3641,mangal_node_3643,mutualism,undirected,1.5,NA
mangal_1393,mangal_node_3651,mangal_node_1427,mutualism,undirected,1,NA
mangal_1393,mangal_node_3647,mangal_node_3710,mutualism,undirected,2,NA
mangal_1393,mangal_node_3636,mangal_node_3654,mutualism,undirected,1,NA
mangal_1393,mangal_node_3636,mangal_node_3724,mutualism,undirected,1,NA
mangal_1393,mangal_node_3636,mangal_node_3642,mutualism,undirected,1,NA
mangal_1393,mangal_node_3636,mangal_node_3676,mutualism,undirected,1,NA
mangal_1393,mangal_node_3290,mangal_node_3643,mutualism,undirected,1,NA
mangal_1393,mangal_node_3641,mangal_node_3649,mutualism,undirected,1,NA
mangal_1393,mangal_node_1304,mangal_node_3656,mutualism,undirected,1,NA
mangal_1393,mangal_node_3636,mangal_node_3722,mutualism,undirected,1,NA
mangal_1393,mangal_node_3647,mangal_node_3648,mutualism,undirected,2,NA
mangal_1393,mangal_node_3647,mangal_node_3652,mutualism,undirected,2,NA
mangal_1393,mangal_node_3636,mangal_node_3643,mutualism,undirected,1,NA
mangal_1393,mangal_node_3641,mangal_node_1427,mutualism,undirected,2,NA
mangal_1393,mangal_node_3647,mangal_node_3736,mutualism,undirected,2,NA
mangal_1393,mangal_node_3711,mangal_node_3733,mutualism,undirected,1,NA
mangal_1393,mangal_node_3651,mangal_node_3717,mutualism,undirected,1,NA
mangal_1393,mangal_node_3641,mangal_node_3648,mutualism,undirected,1,NA
mangal_1393,mangal_node_3636,mangal_node_3652,mutualism,undirected,1,NA
mangal_1393,mangal_node_3641,mangal_node_3676,mutualism,undirected,1,NA
mangal_1393,mangal_node_3651,mangal_node_3643,mutualism,undirected,1,NA
mangal_1393,mangal_node_3651,mangal_node_3649,mutualism,undirected,1,NA
mangal_1393,mangal_node_3647,mangal_node_3733,mutualism,undirected,1,NA
mangal_1393,mangal_node_3290,mangal_node_3690,mutualism,undirected,1,NA
mangal_1345,mangal_node_3636,mangal_node_3638,mutualism,undirected,1,NA
mangal_1345,mangal_node_3641,mangal_node_3676,mutualism,undirected,1,NA
mangal_1345,mangal_node_3636,mangal_node_3650,mutualism,undirected,1,NA
mangal_1345,mangal_node_3636,mangal_node_3648,mutualism,undirected,1,NA
mangal_1345,mangal_node_3641,mangal_node_3643,mutualism,undirected,8,NA
mangal_1345,mangal_node_3636,mangal_node_3654,mutualism,undirected,3,NA
mangal_1345,mangal_node_3749,mangal_node_3648,mutualism,undirected,1,NA
mangal_1345,mangal_node_3636,mangal_node_3653,mutualism,undirected,1,NA
mangal_1345,mangal_node_3641,mangal_node_3748,mutualism,undirected,1,NA
mangal_1345,mangal_node_3641,mangal_node_3648,mutualism,undirected,5,NA
mangal_1345,mangal_node_3641,mangal_node_3649,mutualism,undirected,2,NA
mangal_1345,mangal_node_3636,mangal_node_3722,mutualism,undirected,1,NA
mangal_1402,mangal_node_3669,mangal_node_3638,mutualism,undirected,1,NA
mangal_1402,mangal_node_3661,mangal_node_3642,mutualism,undirected,1,NA
mangal_1402,mangal_node_3709,mangal_node_3638,mutualism,undirected,1,NA
mangal_1402,mangal_node_3636,mangal_node_3654,mutualism,undirected,2,NA
mangal_1402,mangal_node_3636,mangal_node_3722,mutualism,undirected,1,NA
mangal_1402,mangal_node_3636,mangal_node_3638,mutualism,undirected,1,NA
mangal_1402,mangal_node_3290,mangal_node_3642,mutualism,undirected,1,NA
mangal_1402,mangal_node_3695,mangal_node_3654,mutualism,undirected,1,NA
mangal_1402,mangal_node_3290,mangal_node_3718,mutualism,undirected,1,NA
mangal_1346,mangal_node_3636,mangal_node_3638,mutualism,undirected,1,NA
mangal_1346,mangal_node_3641,mangal_node_3652,mutualism,undirected,2,NA
mangal_1346,mangal_node_3686,mangal_node_3643,mutualism,undirected,2,NA
mangal_1346,mangal_node_3636,mangal_node_3722,mutualism,undirected,2,NA
mangal_1346,mangal_node_3636,mangal_node_3648,mutualism,undirected,1.5,NA
mangal_1346,mangal_node_1167,mangal_node_3652,mutualism,undirected,1,NA
mangal_1346,mangal_node_3641,mangal_node_3649,mutualism,undirected,6.5,NA
mangal_1346,mangal_node_3636,mangal_node_3681,mutualism,undirected,1,NA
mangal_1346,mangal_node_3701,mangal_node_3648,mutualism,undirected,2,NA
mangal_1346,mangal_node_3641,mangal_node_3643,mutualism,undirected,15,NA
mangal_1346,mangal_node_3636,mangal_node_3653,mutualism,undirected,1,NA
mangal_1346,mangal_node_3641,mangal_node_3691,mutualism,undirected,1,NA
mangal_1346,mangal_node_3641,mangal_node_3648,mutualism,undirected,4,NA
mangal_1346,mangal_node_3636,mangal_node_3643,mutualism,undirected,2.666666666667,NA
mangal_1346,mangal_node_3689,mangal_node_3649,mutualism,undirected,2,NA
mangal_1346,mangal_node_3689,mangal_node_3681,mutualism,undirected,1,NA
mangal_1346,mangal_node_3636,mangal_node_3761,mutualism,undirected,1,NA
mangal_1365,mangal_node_3674,mangal_node_3648,mutualism,undirected,1,NA
mangal_1365,mangal_node_3636,mangal_node_3648,mutualism,undirected,1,NA
mangal_1365,mangal_node_1991,mangal_node_3648,mutualism,undirected,1,NA
mangal_1365,mangal_node_3651,mangal_node_3648,mutualism,undirected,3,NA
mangal_1365,mangal_node_3641,mangal_node_3723,mutualism,undirected,1,NA
mangal_1365,mangal_node_3641,mangal_node_3648,mutualism,undirected,2,NA
mangal_1365,mangal_node_3753,mangal_node_3649,mutualism,undirected,1,NA
mangal_1404,mangal_node_3636,mangal_node_3638,mutualism,undirected,6,NA
mangal_1404,mangal_node_3689,mangal_node_3648,mutualism,undirected,1,NA
mangal_1404,mangal_node_3686,mangal_node_3652,mutualism,undirected,1,NA
mangal_1404,mangal_node_3636,mangal_node_3643,mutualism,undirected,3.666666666667,NA
mangal_1404,mangal_node_3636,mangal_node_3649,mutualism,undirected,1,NA
mangal_1404,mangal_node_3636,mangal_node_3654,mutualism,undirected,1,NA
mangal_1404,mangal_node_3636,mangal_node_3728,mutualism,undirected,1,NA
mangal_1404,mangal_node_3636,mangal_node_3648,mutualism,undirected,7,NA
mangal_1404,mangal_node_3641,mangal_node_3736,mutualism,undirected,1,NA
mangal_1404,mangal_node_3636,mangal_node_3645,mutualism,undirected,2,NA
mangal_1404,mangal_node_3636,mangal_node_1660,mutualism,undirected,1,NA
mangal_1404,mangal_node_3636,mangal_node_3771,mutualism,undirected,1,NA
mangal_1404,mangal_node_3641,mangal_node_3648,mutualism,undirected,1,NA
mangal_1404,mangal_node_3636,mangal_node_3652,mutualism,undirected,1,NA
mangal_1404,mangal_node_3636,mangal_node_3642,mutualism,undirected,1,NA
mangal_1404,mangal_node_3636,mangal_node_3676,mutualism,undirected,1,NA
mangal_1404,mangal_node_3651,mangal_node_3643,mutualism,undirected,1,NA
mangal_1404,mangal_node_3636,mangal_node_3650,mutualism,undirected,3,NA
mangal_1404,mangal_node_3636,mangal_node_3691,mutualism,undirected,2,NA
mangal_1404,mangal_node_3641,mangal_node_3643,mutualism,undirected,3,NA
mangal_1404,mangal_node_3636,mangal_node_2186,mutualism,undirected,1,NA
mangal_1404,mangal_node_3636,mangal_node_3656,mutualism,undirected,2,NA
mangal_1323,mangal_node_3636,mangal_node_3648,mutualism,undirected,1.5,NA
mangal_1323,mangal_node_3636,mangal_node_2186,mutualism,undirected,1,NA
mangal_1323,mangal_node_3636,mangal_node_3736,mutualism,undirected,1,NA
mangal_1323,mangal_node_3641,mangal_node_3728,mutualism,undirected,2,NA
mangal_1323,mangal_node_3641,mangal_node_3648,mutualism,undirected,3,NA
mangal_1323,mangal_node_3636,mangal_node_3649,mutualism,undirected,1.5,NA
mangal_1323,mangal_node_3641,mangal_node_3736,mutualism,undirected,2,NA
mangal_1323,mangal_node_3641,mangal_node_3643,mutualism,undirected,7,NA
mangal_1323,mangal_node_3689,mangal_node_3649,mutualism,undirected,4,NA
mangal_1323,mangal_node_3636,mangal_node_3654,mutualism,undirected,1,NA
mangal_1323,mangal_node_3636,mangal_node_3643,mutualism,undirected,3.5,NA
mangal_1323,mangal_node_3641,mangal_node_3649,mutualism,undirected,3.5,NA
mangal_1323,mangal_node_3636,mangal_node_3740,mutualism,undirected,1,NA
mangal_1372,mangal_node_3651,mangal_node_3652,mutualism,undirected,2,NA
mangal_1372,mangal_node_3640,mangal_node_3648,mutualism,undirected,2,NA
mangal_1372,mangal_node_3647,mangal_node_3710,mutualism,undirected,4,NA
mangal_1372,mangal_node_3647,mangal_node_3664,mutualism,undirected,2,NA
mangal_1372,mangal_node_3647,mangal_node_3652,mutualism,undirected,2,NA
mangal_1372,mangal_node_3647,mangal_node_3733,mutualism,undirected,1,NA
mangal_1372,mangal_node_3647,mangal_node_3706,mutualism,undirected,2,NA
mangal_1372,mangal_node_3674,mangal_node_3642,mutualism,undirected,5,NA
mangal_1372,mangal_node_3640,mangal_node_3710,mutualism,undirected,2,NA
mangal_1372,mangal_node_3647,mangal_node_3717,mutualism,undirected,1,NA
mangal_1372,mangal_node_3651,mangal_node_3733,mutualism,undirected,1,NA
mangal_1403,mangal_node_3636,mangal_node_3648,mutualism,undirected,3,NA
mangal_1403,mangal_node_3668,mangal_node_3648,mutualism,undirected,1,NA
mangal_1403,mangal_node_3641,mangal_node_3643,mutualism,undirected,2.5,NA
mangal_1403,mangal_node_3636,mangal_node_2186,mutualism,undirected,1,NA
mangal_1403,mangal_node_3636,mangal_node_3736,mutualism,undirected,1,NA
mangal_1403,mangal_node_3636,mangal_node_3653,mutualism,undirected,1,NA
mangal_1403,mangal_node_3636,mangal_node_3645,mutualism,undirected,1,NA
mangal_1403,mangal_node_3636,mangal_node_3681,mutualism,undirected,2,NA
mangal_1403,mangal_node_3636,mangal_node_3642,mutualism,undirected,3,NA
mangal_1403,mangal_node_3689,mangal_node_3649,mutualism,undirected,1,NA
mangal_1403,mangal_node_3636,mangal_node_3710,mutualism,undirected,1,NA
mangal_1403,mangal_node_3636,mangal_node_3650,mutualism,undirected,1,NA
mangal_1403,mangal_node_3636,mangal_node_3722,mutualism,undirected,2,NA
mangal_1403,mangal_node_3689,mangal_node_3681,mutualism,undirected,2,NA
mangal_1403,mangal_node_3668,mangal_node_3691,mutualism,undirected,1,NA
mangal_1403,mangal_node_3686,mangal_node_3748,mutualism,undirected,1,NA
mangal_1403,mangal_node_3641,mangal_node_3648,mutualism,undirected,1,NA
mangal_1403,mangal_node_3636,mangal_node_3652,mutualism,undirected,1,NA
mangal_1403,mangal_node_3689,mangal_node_3642,mutualism,undirected,1,NA
mangal_1403,mangal_node_3636,mangal_node_3643,mutualism,undirected,9.666666666667,NA
mangal_1403,mangal_node_3689,mangal_node_3643,mutualism,undirected,1,NA
mangal_1403,mangal_node_3636,mangal_node_3691,mutualism,undirected,1,NA
mangal_1403,mangal_node_3689,mangal_node_3665,mutualism,undirected,1,NA
mangal_1369,mangal_node_3651,mangal_node_3648,mutualism,undirected,1,NA
mangal_1369,mangal_node_0107,mangal_node_3722,mutualism,undirected,2,NA
mangal_1369,mangal_node_0107,mangal_node_3648,mutualism,undirected,2,NA
mangal_1369,mangal_node_2515,mangal_node_3717,mutualism,undirected,1,NA
