node_id,taxonomy_name,taxonomy_rank,kingdom
mangal_node_2234,Quesnelia strobilispica,NA,Plantae
mangal_node_2235,Aechmea pineliana,species,Plantae
mangal_node_2236,Canistrum triangulare,species,Plantae
mangal_node_2237,Vriesea simplex,species,Plantae
mangal_node_2238,Portea petropolitana,species,Plantae
mangal_node_2239,Aechmea bromeliifolia,species,Plantae
mangal_node_2240,Vriesea psittacina,species,Plantae
mangal_node_2241,Aechmea mutica,species,Plantae
mangal_node_2242,Aechmea nudicaulis,species,Plantae
mangal_node_2243,Nidularium cariacicaense,species,Plantae
mangal_node_2244,Nidularium procerum,species,Plantae
mangal_node_2245,Vriesea gracilior,species,Plantae
mangal_node_2246,Tillandsia tenuifolia,species,Plantae
mangal_node_2247,Acanthostachys strobilaceae,NA,Plantae
mangal_node_2248,Aechmea lingulata,species,Plantae
mangal_node_2249,Billbergia amoena,NA,Plantae
mangal_node_2510,Azorina vidalii,species,Plantae
mangal_node_2511,Crithmum maritimum,species,Plantae
mangal_node_2512,Beta vulgaris,species,Plantae
mangal_node_2513,Daucus carota,species,Plantae
mangal_node_2514,Silene vulgaris,species,Plantae
mangal_node_2516,Freesia refracta,species,Plantae
mangal_node_2517,Reseda luteola,species,Plantae
mangal_node_2518,Halictus,genus,Animalia
mangal_node_2519,Micropeza thoracicum,species,Animalia
mangal_node_2520,Bombus ruderatus,species,Animalia
mangal_node_2521,Colias crocea,NA,Animalia
mangal_node_2522,Eristalix tenax,NA,Animalia
mangal_node_2523,Agrotis ipsilon,species,Animalia
mangal_node_2524,Anothomyia pluvialis,NA,Animalia
mangal_node_2540,Leptotes pirithous,species,Animalia
mangal_node_2576,Phoebis sennae,species,Animalia
mangal_node_2658,Erigeron tenuifolius,species,Plantae
mangal_node_2662,Scalesia affinis,species,Plantae
mangal_node_2668,Cordia lutea,species,Plantae
mangal_node_2673,Opuntia galapageia,species,Plantae
mangal_node_2708,Passiflora foetida,species,Plantae
mangal_node_2709,Plumbago zeylanica,species,Plantae
mangal_node_2719,Waltheria ovata,species,Plantae
mangal_node_2724,Xylocopa darwini,species,Animalia
mangal_node_2727,Anthrax tinctus,species,Animalia
mangal_node_2739,Chrysopa,genus,Animalia
mangal_node_2760,Lasioglossum apristum,species,Animalia
mangal_node_2762,Meliscaeva cinctella,species,Animalia
mangal_node_2763,Cheilosia,genus,Animalia
mangal_node_2772,Melanostoma scalare,species,Animalia
mangal_node_2782,Bombus ardens,species,Animalia
mangal_node_2793,Byturus,genus,Animalia
mangal_node_2811,Crossocerus,genus,Animalia
mangal_node_2814,Hoplia moerens,species,Animalia
mangal_node_2826,Mordellistena,genus,Animalia
mangal_node_2834,Andrena longitibialis,species,Animalia
mangal_node_2839,Episyrphus balteatus,species,Animalia
mangal_node_2870,Vespa simillima,species,Animalia
mangal_node_2873,Astilbe thunbergii,species,Plantae
mangal_node_2881,Ranunculus japonicus,species,Plantae
mangal_node_2883,Anaphalis margaritacea,species,Plantae
mangal_node_2895,Hydrangea paniculata,species,Plantae
mangal_node_2901,Patrinia villosa,species,Plantae
mangal_node_2902,Ixeridium dentatum,species,Plantae
mangal_node_2905,Adenophora triphylla,species,Plantae
mangal_node_2931,Potentilla freyniana,species,Plantae
mangal_node_2932,Weigela decora,species,Plantae
mangal_node_2937,Pseudostellaria heterantha,species,Plantae
mangal_node_2942,Viola grypoceras,species,Plantae
mangal_node_2943,Veratrum maackii,species,Plantae
mangal_node_3199,Coelioxys,genus,Animalia
mangal_node_3207,Senecio,genus,Plantae
mangal_node_3238,Vanessa indica,species,Animalia
mangal_node_3239,Macroglossum stellatarum,species,Animalia
mangal_node_3246,Lycaena phlaeas,species,Animalia
mangal_node_3263,Drosophila,genus,Animalia
mangal_node_3265,Lampides boeticus,species,Animalia
mangal_node_3268,Sapromyza,genus,Animalia
mangal_node_3269,Siphona,genus,Animalia
mangal_node_3637,Erigeron bonariensis,species,Plantae
mangal_node_3655,Eumerus strigatus,species,Animalia
mangal_node_3658,Platycheirus quadratus,species,Animalia
mangal_node_3662,Megachile rotundata,species,Animalia
mangal_node_3671,Stelis laticincta,species,Animalia
mangal_node_3672,Xylocopa varipuncta,species,Animalia
mangal_node_3673,Palpada alhambra,species,Animalia
mangal_node_3678,Andrena auricoma,species,Animalia
mangal_node_3680,Prunus ilicifolia,species,Plantae
mangal_node_3683,Hylaeus calvus,species,Animalia
mangal_node_3687,Euphorbia maculata,species,Plantae
mangal_node_3703,Bombus crotchii,species,Animalia
mangal_node_3704,Lotus purshianus,NA,Plantae
mangal_node_3707,Megachile brevis,species,Animalia
mangal_node_3708,Paragus longistylus,species,Animalia
mangal_node_3712,Torilis arvensis,species,Plantae
mangal_node_3714,Punica granatum,species,Plantae
mangal_node_3715,Plantago lanceolata,species,Plantae
mangal_node_3716,Syrmatium glabrum,species,Plantae
mangal_node_3720,Osmia laeta,species,Animalia
mangal_node_3721,Lavandula angustifolia,species,Plantae
mangal_node_3727,Xeromelecta californica,species,Animalia
mangal_node_3729,Ceanothus cuneatus,species,Plantae
mangal_node_3731,Osmia aglaia,NA,Animalia
mangal_node_3734,Dianthidium ulkei,species,Animalia
mangal_node_3741,Osmia nemoris,species,Animalia
mangal_node_3746,Osmia gaudiosa,species,Animalia
mangal_node_3747,Lupinus,genus,Plantae
mangal_node_3750,Vicia americana,species,Plantae
mangal_node_3751,Coriandrum sativum,species,Plantae
mangal_node_3754,Andrena subchalybea,species,Animalia
mangal_node_3755,Conyza canadensis,NA,Plantae
mangal_node_3756,Osmia regulina,species,Animalia
mangal_node_3757,Coelioxys novomexicana,species,Animalia
mangal_node_3758,Ceanothus hearstiorum,species,Plantae
mangal_node_3760,Coelioxys gilensis,species,Animalia
mangal_node_3764,Osmia atrocyanea,species,Animalia
mangal_node_3766,Megachile parallela,species,Animalia
